x1,x2,year,count,url
Daddy's Home,Shep And The Limelites,1961,4,/shep-and-the-limelites/daddy's-home/
Dance On Little Girl,Paul Anka,1961,1,/paul-anka/dance-on-little-girl/
Danny Boy,Conway Twitty,1959,1,/conway-twitty/danny-boy/
Dear Lady Twist,Gary U.S. Bonds,1962,3,/gary-u.s.-bonds/dear-lady-twist/
Deck Of Cards,Wink Martindale,1959,5,/wink-martindale/deck-of-cards/
Dedicated To The One I Love,The Shirelles,1961,9,/the-shirelles/dedicated-to-the-one-i-love/
Devil Or Angel,Bobby Vee,1960,5,/bobby-vee/devil-or-angel/
Do You Love Me,The Contours,1962,5,/the-contours/do-you-love-me/
Does Your Chewing Gum Lose It's Flavor (On The Bedpost Over Night),Lonnie Donegan And His Skiffle Group,1961,4,/lonnie-donegan-and-his-skiffle-group/does-your-chewing-gum-lose-it's-flavor-(on-the-bedpost-over-night)/
Don't Bet Money Honey,Linda Scott,1961,2,/linda-scott/don't-bet-money-honey/
Don't Break The Heart That Loves You,Connie Francis,1962,6,/connie-francis/don't-break-the-heart-that-loves-you/
Don't Hang Up,The Orlons,1962,6,/the-orlons/don't-hang-up/
Don't Worry,Marty Robbins,1961,7,/marty-robbins/don't-worry/
Don't You Know,Della Reese,1959,8,/della-reese/don't-you-know/
Donna,Ritchie Valens,1959,10,/ritchie-valens/donna/
Dream Baby (How Long Must I Dream),Roy Orbison,1962,3,/roy-orbison/dream-baby-(how-long-must-i-dream)/
Dream Lover,Bobby Darin,1959,10,/bobby-darin/dream-lover/
Duke Of Earl,Gene Chandler,1962,8,/gene-chandler/duke-of-earl/
Dum Dum,Brenda Lee,1961,6,/brenda-lee/dum-dum/
Ebony Eyes,The Everly Brothers,1961,4,/the-everly-brothers/ebony-eyes/
El Paso,Marty Robbins,1959,2,/marty-robbins/el-paso/
El Paso,Marty Robbins,1960,7,/marty-robbins/el-paso/
Emotions,Brenda Lee,1961,4,/brenda-lee/emotions/
Every Beat Of My Heart,Pips,1961,6,/pips/every-beat-of-my-heart/
Everybody Loves Me But You,Brenda Lee,1962,3,/brenda-lee/everybody-loves-me-but-you/
Everybody's Somebody's Fool,Connie Francis,1960,8,/connie-francis/everybody's-somebody's-fool/
Exodus,Ferrante & Teicher,1960,4,/ferrante-&-teicher/exodus/
Exodus,Ferrante & Teicher,1961,7,/ferrante-&-teicher/exodus/
Finger Poppin' Time,Hank Ballard And The Midnighters,1960,4,/hank-ballard-and-the-midnighters/finger-poppin'-time/
Fool #1,Brenda Lee,1961,5,/brenda-lee/fool-#1/
Footsteps,Steve Lawrence,1960,2,/steve-lawrence/footsteps/
Forever,The Little Dippers,1960,1,/the-little-dippers/forever/
Forty Miles Of Bad Road,Duane Eddy And The Rebels,1959,3,/duane-eddy-and-the-rebels/forty-miles-of-bad-road/
Frankie,Connie Francis,1959,1,/connie-francis/frankie/
Funny Way Of Laughin',Burl Ives,1962,1,/burl-ives/funny-way-of-laughin'/
Gee Whiz (Look At His Eyes),Carla Thomas,1961,1,/carla-thomas/gee-whiz-(look-at-his-eyes)/
Georgia On My Mind,Ray Charles,1960,5,/ray-charles/georgia-on-my-mind/
Gina,Johnny Mathis,1962,5,/johnny-mathis/gina/
Go Away Little Girl,Steve Lawrence,1962,3,/steve-lawrence/go-away-little-girl/
"Go, Jimmy, Go",Jimmy Clanton,1960,5,"/jimmy-clanton/go,-jimmy,-go/"
Good Luck Charm,Elvis Presley With The Jordanaires,1962,7,/elvis-presley-with-the-jordanaires/good-luck-charm/
Good Timin',Jimmy Jones,1960,7,/jimmy-jones/good-timin'/
Goodbye Baby,Jack Scott,1959,4,/jack-scott/goodbye-baby/
Goodbye Cruel World,James Darren,1961,7,/james-darren/goodbye-cruel-world/
Goodbye Cruel World,James Darren,1962,1,/james-darren/goodbye-cruel-world/
Gotta Travel On,Billy Grammer,1959,7,/billy-grammer/gotta-travel-on/
Gravy (For My Mashed Potatoes),Dee Dee Sharp,1962,3,/dee-dee-sharp/gravy-(for-my-mashed-potatoes)/
Green Onions,Booker T. & The MG's,1962,6,/booker-t.-&-the-mg's/green-onions/
Greenfields,The Brothers Four,1960,9,/the-brothers-four/greenfields/
Guitar Boogie Shuffle,The Virtues,1959,6,/the-virtues/guitar-boogie-shuffle/
Handy Man,Jimmy Jones,1960,9,/jimmy-jones/handy-man/
"Happy Birthday, Sweet Sixteen",Neil Sedaka,1961,4,"/neil-sedaka/happy-birthday,-sweet-sixteen/"
"Happy Birthday, Sweet Sixteen",Neil Sedaka,1962,3,"/neil-sedaka/happy-birthday,-sweet-sixteen/"
Happy-Go-Lucky-Me,Paul Evans,1960,1,/paul-evans/happy-go-lucky-me/
Harbor Lights,The Platters,1960,4,/the-platters/harbor-lights/
Hats Off To Larry,Del Shannon,1961,5,/del-shannon/hats-off-to-larry/
He Will Break Your Heart,Jerry Butler,1960,3,/jerry-butler/he-will-break-your-heart/
He'll Have To Go,Jim Reeves,1960,12,/jim-reeves/he'll-have-to-go/
He'll Have To Stay,Jeanne Black,1960,6,/jeanne-black/he'll-have-to-stay/
He's A Rebel,The Crystals,1962,7,/the-crystals/he's-a-rebel/
Heartaches,The Marcels,1961,1,/the-marcels/heartaches/
Heartaches By The Number,Guy Mitchell,1959,8,/guy-mitchell/heartaches-by-the-number/
Heartaches By The Number,Guy Mitchell,1960,2,/guy-mitchell/heartaches-by-the-number/
Hello Mary Lou,Ricky Nelson,1961,1,/ricky-nelson/hello-mary-lou/
Her Royal Majesty,James Darren,1962,3,/james-darren/her-royal-majesty/
Hey! Baby,Bruce Channel,1962,8,/bruce-channel/hey!-baby/
Hit The Road Jack,Ray Charles and his Orchestra,1961,8,/ray-charles-and-his-orchestra/hit-the-road-jack/
Hotel Happiness,Brook Benton,1962,1,/brook-benton/hotel-happiness/
Hound Dog Man,Fabian,1959,2,/fabian/hound-dog-man/
Hurt,Timi Yuro,1961,3,/timi-yuro/hurt/
I Can't Stop Loving You,Ray Charles,1962,11,/ray-charles/i-can't-stop-loving-you/
I Cried A Tear,LaVern Baker,1959,3,/lavern-baker/i-cried-a-tear/
I Feel So Bad,Elvis Presley,1961,3,/elvis-presley/i-feel-so-bad/
I Know (You Don't Love Me No More),Barbara George,1962,6,/barbara-george/i-know-(you-don't-love-me-no-more)/
"I Like It Like That, Part 1",Chris Kenner,1961,7,"/chris-kenner/i-like-it-like-that,-part-1/"
I Love How You Love Me,The Paris Sisters,1961,3,/the-paris-sisters/i-love-how-you-love-me/
I Love The Way You Love,Marv Johnson,1960,1,/marv-johnson/i-love-the-way-you-love/
I Need Your Love Tonight,Elvis Presley With The Jordanaires,1959,5,/elvis-presley-with-the-jordanaires/i-need-your-love-tonight/
I Remember You,Frank Ifield,1962,4,/frank-ifield/i-remember-you/
I Understand (Just How You Feel),The G-Clefs,1961,1,/the-g-clefs/i-understand-(just-how-you-feel)/
I Want To Be Wanted,Brenda Lee,1960,6,/brenda-lee/i-want-to-be-wanted/
I Want To Walk You Home,Fats Domino,1959,5,/fats-domino/i-want-to-walk-you-home/
I'm Gonna Get Married,Lloyd Price,1959,6,/lloyd-price/i'm-gonna-get-married/
I'm Sorry,Brenda Lee,1960,11,/brenda-lee/i'm-sorry/
I've Had It,The Bell Notes,1959,4,/the-bell-notes/i've-had-it/
I've Told Every Little Star,Linda Scott,1961,5,/linda-scott/i've-told-every-little-star/
If I Had A Hammer (The Hammer Song),"Peter, Paul & Mary",1962,1,"/peter,-paul-&-mary/if-i-had-a-hammer-(the-hammer-song)/"
Image Of A Girl,Safaris with The Phantom's Band,1960,5,/safaris-with-the-phantom's-band/image-of-a-girl/
In My Little Corner Of The World,Anita Bryant,1960,1,/anita-bryant/in-my-little-corner-of-the-world/
In The Mood,Ernie Fields & Orch.,1959,4,/ernie-fields-&-orch./in-the-mood/
It Keeps Right On A-Hurtin',Johnny Tillotson,1962,6,/johnny-tillotson/it-keeps-right-on-a-hurtin'/
It's Just A Matter Of Time,Brook Benton,1959,7,/brook-benton/it's-just-a-matter-of-time/
It's Late,Ricky Nelson,1959,3,/ricky-nelson/it's-late/
It's Now Or Never,Elvis Presley With The Jordanaires,1960,11,/elvis-presley-with-the-jordanaires/it's-now-or-never/
It's Time To Cry,Paul Anka,1959,3,/paul-anka/it's-time-to-cry/
It's Time To Cry,Paul Anka,1960,2,/paul-anka/it's-time-to-cry/
Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,1960,8,/brian-hyland/itsy-bitsy-teenie-weenie-yellow-polkadot-bikini/
Johnny Angel,Shelley Fabares,1962,9,/shelley-fabares/johnny-angel/
Johnny Get Angry,Joanie Sommers,1962,2,/joanie-sommers/johnny-get-angry/
Just A Little Too Much,Ricky Nelson,1959,1,/ricky-nelson/just-a-little-too-much/
Just Ask Your Heart,Frankie Avalon,1959,4,/frankie-avalon/just-ask-your-heart/
Kansas City,Wilbert Harrison,1959,8,/wilbert-harrison/kansas-city/
Kiddio,Brook Benton,1960,4,/brook-benton/kiddio/
"Kookie, Kookie (Lend Me Your Comb)",Edward Byrnes & Connie Stevens,1959,6,"/edward-byrnes-&-connie-stevens/kookie,-kookie-(lend-me-your-comb)/"
Last Date,Floyd Cramer,1960,8,/floyd-cramer/last-date/
Last Date,Floyd Cramer,1961,2,/floyd-cramer/last-date/
Last Night,Mar-Keys,1961,5,/mar-keys/last-night/
Lavender-Blue,Sammy Turner,1959,6,/sammy-turner/lavender-blue/
Let It Be Me,The Everly Brothers,1960,4,/the-everly-brothers/let-it-be-me/
Let Me In,The Sensations,1962,4,/the-sensations/let-me-in/
Let The Little Girl Dance,Billy Bland,1960,4,/billy-bland/let-the-little-girl-dance/
Let There Be Drums,Sandy Nelson,1961,3,/sandy-nelson/let-there-be-drums/
Let's Dance,Chris Montez,1962,5,/chris-montez/let's-dance/
Let's Get Together,Hayley Mills and Hayley Mills,1961,3,/hayley-mills-and-hayley-mills/let's-get-together/
"Let's Go, Let's Go, Let's Go",Hank Ballard And The Midnighters,1960,5,"/hank-ballard-and-the-midnighters/let's-go,-let's-go,-let's-go/"
Let's Think About Living,Bob Luman,1960,2,/bob-luman/let's-think-about-living/
Let's Twist Again,Chubby Checker,1961,5,/chubby-checker/let's-twist-again/
Limbo Rock,Chubby Checker,1962,8,/chubby-checker/limbo-rock/
Lipstick On Your Collar,Connie Francis,1959,6,/connie-francis/lipstick-on-your-collar/
Little Diane,Dion,1962,3,/dion/little-diane/
Little Sister,Elvis Presley,1961,4,/elvis-presley/little-sister/
Lonely Blue Boy,Conway Twitty,1960,3,/conway-twitty/lonely-blue-boy/
Lonely Boy,Paul Anka,1959,10,/paul-anka/lonely-boy/
Lonely Street,Andy Williams,1959,6,/andy-williams/lonely-street/
Lonely Teardrops,Jackie Wilson,1959,5,/jackie-wilson/lonely-teardrops/
Lonesome Town,Ricky Nelson,1959,1,/ricky-nelson/lonesome-town/
Love Came To Me,Dion,1962,1,/dion/love-came-to-me/
