x1,x2,year,count,url
Swingin' School,Bobby Rydell,1960,3,/bobby-rydell/swingin'-school/
Take Good Care Of Her,Adam Wade,1961,4,/adam-wade/take-good-care-of-her/
Take Good Care Of My Baby,Bobby Vee,1961,7,/bobby-vee/take-good-care-of-my-baby/
Tall Paul,Annette With The Afterbeats,1959,1,/annette-with-the-afterbeats/tall-paul/
Tallahassee Lassie,Freddy Cannon,1959,6,/freddy-cannon/tallahassee-lassie/
Teen Age Idol,Rick Nelson,1962,4,/rick-nelson/teen-age-idol/
Teen Angel,Mark Dinning,1960,10,/mark-dinning/teen-angel/
Teen Beat,Sandy Nelson,1959,8,/sandy-nelson/teen-beat/
Tell Him No,Travis & Bob,1959,2,/travis-&-bob/tell-him-no/
Tell Laura I Love Her,Ray Peterson,1960,5,/ray-peterson/tell-laura-i-love-her/
Telstar,The Tornadoes,1962,4,/the-tornadoes/telstar/
That's All You Gotta Do,Brenda Lee,1960,5,/brenda-lee/that's-all-you-gotta-do/
That's Old Fashioned (That's The Way Love Should Be),The Everly Brothers,1962,1,/the-everly-brothers/that's-old-fashioned-(that's-the-way-love-should-be)/
The All American Boy,Bill Parsons,1959,5,/bill-parsons/the-all-american-boy/
The Battle Of New Orleans,Johnny Horton,1959,13,/johnny-horton/the-battle-of-new-orleans/
The Big Hurt,Miss Toni Fisher,1959,3,/miss-toni-fisher/the-big-hurt/
The Big Hurt,Miss Toni Fisher,1960,5,/miss-toni-fisher/the-big-hurt/
The Boll Weevil Song,Brook Benton,1961,8,/brook-benton/the-boll-weevil-song/
The Cha-Cha-Cha,Bobby Rydell,1962,1,/bobby-rydell/the-cha-cha-cha/
The Chipmunk Song,The Chipmunks With David Seville,1959,3,/the-chipmunks-with-david-seville/the-chipmunk-song/
The Fly,Chubby Checker,1961,5,/chubby-checker/the-fly/
The Happy Organ,"Dave ""Baby"" Cortez",1959,7,"/dave-""baby""-cortez/the-happy-organ/"
The Lion Sleeps Tonight,The Tokens,1961,4,/the-tokens/the-lion-sleeps-tonight/
The Lion Sleeps Tonight,The Tokens,1962,5,/the-tokens/the-lion-sleeps-tonight/
The Loco-Motion,Little Eva,1962,7,/little-eva/the-loco-motion/
The Lonely Bull (El Solo Torro),Herb Alpert & The Tijuana Brass,1962,3,/herb-alpert-&-the-tijuana-brass/the-lonely-bull-(el-solo-torro)/
The Mountain's High,Dick and DeeDee,1961,3,/dick-and-deedee/the-mountain's-high/
The Old Lamplighter,The Browns Featuring Jim Edward Brown,1960,3,/the-browns-featuring-jim-edward-brown/the-old-lamplighter/
The One Who Really Loves You,Mary Wells,1962,3,/mary-wells/the-one-who-really-loves-you/
The Stripper,David Rose and His Orchestra,1962,9,/david-rose-and-his-orchestra/the-stripper/
"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,1960,12,"/percy-faith-and-his-orchestra/the-theme-from-""a-summer-place""/"
The Three Bells,The Browns,1959,10,/the-browns/the-three-bells/
The Twist,Chubby Checker,1960,12,/chubby-checker/the-twist/
The Twist,Chubby Checker,1961,5,/chubby-checker/the-twist/
The Twist,Chubby Checker,1962,9,/chubby-checker/the-twist/
The Village Of St. Bernadette,Andy Williams,1960,2,/andy-williams/the-village-of-st.-bernadette/
The Wah Watusi,The Orlons,1962,6,/the-orlons/the-wah-watusi/
The Wanderer,Dion,1962,7,/dion/the-wanderer/
The Writing On The Wall,Adam Wade,1961,5,/adam-wade/the-writing-on-the-wall/
Theme From Dr. Kildare (Three Stars Will Shine Tonight),Richard Chamberlain,1962,1,/richard-chamberlain/theme-from-dr.-kildare-(three-stars-will-shine-tonight)/
Theme From The Apartment,Ferrante & Teicher,1960,3,/ferrante-&-teicher/theme-from-the-apartment/
There Goes My Baby,The Drifters,1959,6,/the-drifters/there-goes-my-baby/
There's A Moon Out Tonight,The Capris,1961,4,/the-capris/there's-a-moon-out-tonight/
Things,Bobby Darin,1962,5,/bobby-darin/things/
This Time,Troy Shondell,1961,6,/troy-shondell/this-time/
Those Oldies But Goodies (Remind Me Of You),Little Caesar and The Romans,1961,3,/little-caesar-and-the-romans/those-oldies-but-goodies-(remind-me-of-you)/
Tiger,Fabian,1959,6,/fabian/tiger/
"To Know Him, Is To Love Him",The Teddy Bears,1959,3,"/the-teddy-bears/to-know-him,-is-to-love-him/"
Together,Connie Francis,1961,4,/connie-francis/together/
Tom Dooley,The Kingston Trio,1959,1,/the-kingston-trio/tom-dooley/
Tonight,Ferrante & Teicher,1961,1,/ferrante-&-teicher/tonight/
Tossin' And Turnin',Bobby Lewis,1961,12,/bobby-lewis/tossin'-and-turnin'/
Tower Of Strength,Gene McDaniels,1961,5,/gene-mcdaniels/tower-of-strength/
Tragedy,The Fleetwoods,1961,1,/the-fleetwoods/tragedy/
Tragedy,Thomas Wayne With the Delons,1959,6,/thomas-wayne-with-the-delons/tragedy/
Travelin' Man,Ricky Nelson,1961,8,/ricky-nelson/travelin'-man/
Turn Me Loose,Fabian,1959,4,/fabian/turn-me-loose/
"Twist, Twist Senora",Gary U.S. Bonds,1962,3,"/gary-u.s.-bonds/twist,-twist-senora/"
Twistin' The Night Away,Sam Cooke,1962,2,/sam-cooke/twistin'-the-night-away/
Unchain My Heart,Ray Charles and his Orchestra,1961,1,/ray-charles-and-his-orchestra/unchain-my-heart/
Unchain My Heart,Ray Charles and his Orchestra,1962,2,/ray-charles-and-his-orchestra/unchain-my-heart/
Vacation,Connie Francis,1962,2,/connie-francis/vacation/
Venus,Frankie Avalon,1959,10,/frankie-avalon/venus/
Venus In Blue Jeans,Jimmy Clanton,1962,1,/jimmy-clanton/venus-in-blue-jeans/
Volare,Bobby Rydell,1960,5,/bobby-rydell/volare/
Walk -- Don't Run,The Ventures,1960,9,/the-ventures/walk----don't-run/
Walk On By,Leroy Van Dyke,1961,5,/leroy-van-dyke/walk-on-by/
Walk On By,Leroy Van Dyke,1962,4,/leroy-van-dyke/walk-on-by/
Walk Right Back,The Everly Brothers,1961,4,/the-everly-brothers/walk-right-back/
Walking To New Orleans,Fats Domino,1960,2,/fats-domino/walking-to-new-orleans/
Waterloo,Stonewall Jackson,1959,6,/stonewall-jackson/waterloo/
Way Down Yonder In New Orleans,Freddie Cannon,1959,2,/freddie-cannon/way-down-yonder-in-new-orleans/
Way Down Yonder In New Orleans,Freddie Cannon,1960,5,/freddie-cannon/way-down-yonder-in-new-orleans/
We Got Love,Bobby Rydell,1959,5,/bobby-rydell/we-got-love/
What A Diff'rence A Day Makes,Dinah Washington,1959,3,/dinah-washington/what-a-diff'rence-a-day-makes/
What In The World's Come Over You,Jack Scott,1960,7,/jack-scott/what-in-the-world's-come-over-you/
What'd I Say (Part I & II),Ray Charles and his Orchestra,1959,5,/ray-charles-and-his-orchestra/what'd-i-say-(part-i-&-ii)/
What's Your Name,Don & Juan,1962,4,/don-&-juan/what's-your-name/
Wheels,The String-A-Longs,1961,6,/the-string-a-longs/wheels/
When I Fall In Love,The Lettermen,1961,1,/the-lettermen/when-i-fall-in-love/
When I Fall In Love,The Lettermen,1962,3,/the-lettermen/when-i-fall-in-love/
When The Boy In Your Arms (Is The Boy In Your Heart),Connie Francis,1962,1,/connie-francis/when-the-boy-in-your-arms-(is-the-boy-in-your-heart)/
When We Get Married,The Dreamlovers,1961,1,/the-dreamlovers/when-we-get-married/
When Will I Be Loved,The Everly Brothers,1960,2,/the-everly-brothers/when-will-i-be-loved/
Where Or When,Dion & The Belmonts,1960,5,/dion-&-the-belmonts/where-or-when/
Where The Boys Are,Connie Francis,1961,5,/connie-francis/where-the-boys-are/
White Silver Sands,Bill Black's Combo,1960,1,/bill-black's-combo/white-silver-sands/
"Who Put The Bomp (In The Bomp, Bomp, Bomp)",Barry Mann,1961,2,"/barry-mann/who-put-the-bomp-(in-the-bomp,-bomp,-bomp)/"
Whole Lotta Loving,Fats Domino,1959,4,/fats-domino/whole-lotta-loving/
Why,Frankie Avalon,1959,3,/frankie-avalon/why/
Why,Frankie Avalon,1960,6,/frankie-avalon/why/
Wild One,Bobby Rydell,1960,8,/bobby-rydell/wild-one/
Will You Love Me Tomorrow,The Shirelles,1961,7,/the-shirelles/will-you-love-me-tomorrow/
Without You,Johnny Tillotson,1961,2,/johnny-tillotson/without-you/
Wolverton Mountain,Claude King,1962,4,/claude-king/wolverton-mountain/
Wonderland By Night,Bert Kaempfert And His Orchestra,1960,4,/bert-kaempfert-and-his-orchestra/wonderland-by-night/
Wonderland By Night,Bert Kaempfert And His Orchestra,1961,6,/bert-kaempfert-and-his-orchestra/wonderland-by-night/
Wooden Heart,Joe Dowell,1961,7,/joe-dowell/wooden-heart/
Ya Ya,Lee Dorsey,1961,3,/lee-dorsey/ya-ya/
Yellow Bird,Arthur Lyman Group,1961,5,/arthur-lyman-group/yellow-bird/
Yogi,The Ivy Three,1960,2,/the-ivy-three/yogi/
You Are My Sunshine,Ray Charles,1962,2,/ray-charles/you-are-my-sunshine/
You Beat Me To The Punch,Mary Wells,1962,2,/mary-wells/you-beat-me-to-the-punch/
You Belong To Me,The Duprees,1962,2,/the-duprees/you-belong-to-me/
You Can Depend On Me,Brenda Lee,1961,4,/brenda-lee/you-can-depend-on-me/
You Don't Know Me,Ray Charles,1962,5,/ray-charles/you-don't-know-me/
You Don't Know What You've Got (Until You Lose It),Ral Donner,1961,4,/ral-donner/you-don't-know-what-you've-got-(until-you-lose-it)/
You Got What It Takes,Marv Johnson,1960,1,/marv-johnson/you-got-what-it-takes/
You Must Have Been A Beautiful Baby,Bobby Darin,1961,3,/bobby-darin/you-must-have-been-a-beautiful-baby/
You Talk Too Much,Joe Jones,1960,4,/joe-jones/you-talk-too-much/
You'll Lose A Good Thing,Barbara Lynn,1962,1,/barbara-lynn/you'll-lose-a-good-thing/
You're Sixteen,Johnny Burnette,1960,3,/johnny-burnette/you're-sixteen/
You're Sixteen,Johnny Burnette,1961,1,/johnny-burnette/you're-sixteen/
Young World,Rick Nelson,1962,4,/rick-nelson/young-world/
Zip-A-Dee Doo-Dah,Bob B. Soxx And The Blue Jeans,1962,1,/bob-b.-soxx-and-the-blue-jeans/zip-a-dee-doo-dah/
